timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596897129451,38735,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-62,text,false,,3287,0,68,68,https://tavriav.ua/catalog/search/?query=jameson,38201,0,68
1596897129153,39198,HTTP Request,200,OK,Thread Group 1-37,text,true,,466018,288,66,66,https://tavriav.ua/catalog/search/?query=jameson,38,0,22
1596897129153,38,HTTP Request-0,302,Moved Temporarily,Thread Group 1-37,text,true,,384,144,66,66,http://tavriav.ua/catalog/search/?query=jameson,38,0,22
1596897129191,39160,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,465634,144,66,66,https://tavriav.ua/catalog/search/?query=jameson,35065,0,63
1596897128915,39880,HTTP Request,200,OK,Thread Group 1-13,text,true,,466025,288,65,65,https://tavriav.ua/catalog/search/?query=jameson,30,0,14
1596897128915,30,HTTP Request-0,302,Moved Temporarily,Thread Group 1-13,text,true,,384,144,65,65,http://tavriav.ua/catalog/search/?query=jameson,30,0,14
1596897128945,39850,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,465641,144,65,65,https://tavriav.ua/catalog/search/?query=jameson,35526,0,78
1596897129144,39692,HTTP Request,200,OK,Thread Group 1-36,text,true,,466018,288,64,64,https://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897129144,29,HTTP Request-0,302,Moved Temporarily,Thread Group 1-36,text,true,,384,144,64,64,http://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897129173,39663,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,465634,144,64,64,https://tavriav.ua/catalog/search/?query=jameson,35125,0,70
1596897129558,39347,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-77,text,false,,3767,144,63,63,https://tavriav.ua/catalog/search/?query=jameson,45,0,29
1596897129558,45,HTTP Request-0,302,Moved Temporarily,Thread Group 1-77,text,true,,384,144,63,63,http://tavriav.ua/catalog/search/?query=jameson,45,0,29
1596897129604,39301,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-77,text,false,,3383,0,63,63,https://tavriav.ua/catalog/search/?query=jameson,36440,0,69
1596897129192,39956,HTTP Request,200,OK,Thread Group 1-41,text,true,,466018,288,62,62,https://tavriav.ua/catalog/search/?query=jameson,36,0,20
1596897129192,36,HTTP Request-0,302,Moved Temporarily,Thread Group 1-41,text,true,,384,144,62,62,http://tavriav.ua/catalog/search/?query=jameson,36,0,20
1596897129228,39920,HTTP Request-1,200,OK,Thread Group 1-41,text,true,,465634,144,62,62,https://tavriav.ua/catalog/search/?query=jameson,35283,0,65
1596897129064,40238,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,3671,144,61,61,https://tavriav.ua/catalog/search/?query=jameson,33,0,15
1596897129064,33,HTTP Request-0,302,Moved Temporarily,Thread Group 1-28,text,true,,384,144,61,61,http://tavriav.ua/catalog/search/?query=jameson,33,0,15
1596897129097,40205,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,3287,0,61,61,https://tavriav.ua/catalog/search/?query=jameson,35957,0,59
1596897129617,39877,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-83,text,false,,3671,144,60,60,https://tavriav.ua/catalog/search/?query=jameson,30,0,16
1596897129617,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-83,text,true,,384,144,60,60,http://tavriav.ua/catalog/search/?query=jameson,30,0,16
